"","Culm_diameter","Culm_length","Culm_number","Grain_length","Grain_width","Grain_weight","Heading_date","Ligule_length","Leaf_length","Leaf_width","Panicle_length","Seedling_height"
"IRIS_313.11061",4,107,15,8.6,3.1,2.4,68,19,44,1.3,25,31
"IRIS_313.11773",5.3,103,19,8.7,3.1,2.7,118,21,58,1.2,26,45
"IRIS_313.9294",6,81,19,8.6,2.5,2.5,142,17,35,1.3,26,35
"IRIS_313.11047",4,107,18,7.7,3.1,2.1,68,16,58,1.6,24,33
"IRIS_313.11348",4,100,19,9.3,3,2.3,80,18,58,1.2,25,62
"IRIS_313.8288",5,105,15,9.7,3.1,3,73,21,49,1.5,27,58
"IRIS_313.11109",5,91,9,9,3.9,2.1,77,12,47,1.6,25,33
"IRIS_313.11108",4,131,17,10.5,2.9,2.6,91,18,70,1.5,27,34
"IRIS_313.11160",4,119,16,9.9,2.8,2.2,98,21,60,1.1,24,40
"IRIS_313.11656",4,105,16,8.7,2.5,2.5,88,19,43,1.2,24,29
"IRIS_313.10332",6.4,111,15,8.5,2.6,2.4,107,17,43.6,1.6,28.2,35
"IRIS_313.9452",3,83,10,9.2,2.5,2.1,92,7,46,1,23,40
"IRIS_313.10334",4.6,86,20,7.9,2.8,2.4,84,17,41,1.5,24.8,37
"IRIS_313.10333",5.7,86,20,7.7,2.8,2.4,84,17,43.2,1.4,23.6,36
"IRIS_313.10336",5,113,13,8.5,2.7,2.5,92,18,49.4,1.7,21.4,37
"IRIS_313.10337",6,116,11,8.4,2.9,2.7,95,19,45,1.5,23.2,49
"IRIS_313.10708",5,85,9,9.2,2.6,2.4,69,11,50,1.3,27,38
"IRIS_313.11239",4,121,14,10.3,2.9,2.5,94,18,59,1.4,28,40
"IRIS_313.9574",4,92,15,9.1,2.6,2.1,124,15,43,1.3,26,44
"IRIS_313.9730",5,99,20,8.2,3,2.4,81,14,40,1.2,25,52
"IRIS_313.10576",6,168,20,10.3,3.1,3,118,24,80,1.8,31,34
"IRIS_313.11349",4,122,16,9.8,2.8,2.6,102,20,62,1.1,17,52
"IRIS_313.10837",4,89,17,6.9,3.4,2.3,67,17,50,1.2,26,26
"IRIS_313.9148",5,162,14,7.8,3.2,2.4,111,18,61,1.4,20,53
"IRIS_313.10539",5,148,25,8.1,3.3,2.7,131,33,82,1.2,25,29
"IRIS_313.10971",5,150,19,8.2,3.3,2.4,98,19,68,1.5,24,31
"IRIS_313.11218",5,131,14,6.4,2.6,1.2,128,21,60,1.5,21,33
"IRIS_313.9403",5,128,25,8.6,2.6,2.1,105,29,59,1,26,33
"IRIS_313.10211",4.3,113,20,8.1,2.9,2.3,77,14,42,1.3,22,60
"IRIS_313.11571",4,95,24,8.2,3.5,3,72,11,50,0.7,19,29
"IRIS_313.11572",5,114,14,8.5,3.2,2.1,97,13,57,1.5,27,43
"IRIS_313.11852",2.3,73,15,8.3,2.7,3.9,85,17,34,1.1,21,35
"IRIS_313.11878",5,118,18,8.3,3.1,2.6,79,17,50,1.5,23,50
"IRIS_313.8846",5,112,25,8.7,3.1,2.8,116,18,59,1.5,30,20
"IRIS_313.11350",4,131,18,6.8,2.9,1.7,106,20,62,1.5,31,41
"IRIS_313.11164",5,103,13,10.7,3,2.8,78,23,57,1.7,25,49
"IRIS_313.10996",4,101,25,9.7,2.9,2.4,89,18,47,1.3,24,29
"IRIS_313.8699",4,93,16,8.2,3.4,2.7,114,23,53,1.6,26,44
"IRIS_313.10990",5,135,15,7.5,3.5,2.6,85,22,69,1.5,27,32
"IRIS_313.10761",5,148,21,8.5,3.4,3.1,116,18,70,1.9,31,52
"IRIS_313.8637",3,92,16,7.2,3,2,79,12,34,0.9,21,35
"IRIS_313.11496",6,107,13,9.2,3.3,3.3,120,15,56,1.9,30,38
"IRIS_313.8957",6,140,25,8.6,2.9,2.6,131,26,76,1.4,27,22
"IRIS_313.11020",5,114,13,9.7,2.8,3,72,19,59,1.3,27,46
"IRIS_313.9953",5,97,15,8.8,3.1,2.8,90,18,52,1.5,24,37
"IRIS_313.11351",4,128,18,9.4,2.7,2.2,111,33,54,1.1,24,57
"IRIS_313.10942",4,105,20,8.9,2.9,2.3,120,18,49,1.5,25,15
"IRIS_313.10525",6,124,25,8.1,2.6,2.2,151,26,78,1.5,28,22
"IRIS_313.10762",5,146,15,8.4,3,2.9,111,19,60,1.2,25,52
"IRIS_313.8988",6.3,131,19,8.7,3,2.8,97,18,56,1.3,27,34
"IRIS_313.8626",5,133,11,8.2,3.9,3.3,96,18,62,1.9,19,44
"IRIS_313.10045",6,125,18,9.3,2.7,2.7,122,28,56,1.3,19,40
"IRIS_313.11021",4,137,21,10,2.4,2.4,78,29,59,1.5,37,30
"IRIS_313.11448",4,131,11,8.2,3.6,3,104,15,44,1.2,25,49
"IRIS_313.9384",4,105,17,8,2.1,1.3,84,19,46,1.1,24,52
"IRIS_313.10731",4,110,14,8.3,3.2,2.4,84,19,49,1.1,25,36
"IRIS_313.8656",4,117,16,9.7,2.4,2,84,35,67,1.2,30,35
"IRIS_313.11022",4,143,20,9.5,2.4,2.4,84,29,65,1.2,32,33
"IRIS_313.11023",4,128,18,9.6,2.5,2.3,78,21,63,1.5,31,31
"IRIS_313.8341",5,118,15,8.8,2.6,1.6,129,19,44,0.8,22,31
"IRIS_313.8963",4,100,25,8,3.1,2.6,65,23,64,1,20,22
"IRIS_313.11123",5,148,12,8.5,3.3,2.4,107,25,65,1.2,24,39
"IRIS_313.11124",5,166,13,8.5,3.5,2.3,107,15,48,1.6,29,37
"IRIS_313.8717",4,138,13,8,3.2,2.6,119,28,66,1.6,27,47
"IRIS_313.11024",5,109,25,9.9,3,3,78,20,54,1.2,27,37
"IRIS_313.9641",4,76,14,8.8,2.4,2.2,76,24,50,1.2,26,41
"IRIS_313.11062",4,145,23,5.7,2.9,1.4,68,15,60,1,27,36
"IRIS_313.10542",6,99,15,8,3.3,2.5,83,18,59,1.2,24,25
"IRIS_313.10569",5,66,15,7.7,3.8,3,93,11,41,1.1,19,16
"IRIS_313.11165",4,99,14,8.1,3,2.4,83,22,57,1.6,26,31
"IRIS_313.11756",7,83,16,8.7,2.9,2.5,102,15,50,1.8,25,42
"IRIS_313.9551",4,109,20,9.2,2.4,2.4,110,18,53,1.1,27,35
"IRIS_313.11043",4,164,14,7.9,3.1,2.1,131,20,52,1.7,25,21
"IRIS_313.9782",5,76,10,7.3,3.5,2.5,80,11,43,1.1,19,17
"IRIS_313.9783",4,83,10,9.1,2.6,2.3,80,18,48,0.9,20,19
